DATE SYMBOL CUSIP
2020-07-23 EWP 464286764
2020-07-23 FXA 46090N103
2020-07-23 HIBS 25460E331
2020-07-23 HSMV 33741Y100
2020-07-23 IDRV 46435U366
2020-07-23 LCR 527289789
2020-07-23 LGH 66538R730
2020-07-23 MARB 33740J203
2020-07-23 ONLN 74347B169
2020-07-23 PHDG 46090A705
2020-07-23 SGDJ 85210B201
2020-07-23 SPSK 886364702
2020-07-23 TLRD 87403A107
2020-07-23 TMF 25459W540
2020-07-23 UAVS 00848K101
2020-07-23 UWM 74347R842
2020-07-23 VAL G9402V109
2020-07-23 WEBS 25460E356
2020-07-23 WFH 25460G773
2020-07-23 XBUY 032108870
2020-07-24 AAAU 715426102
2020-07-24 CHIS 37954Y558
2020-07-24 DEHU G2614K102
2020-07-24 DIVO 032108409
2020-07-24 EWH 464286871
2020-07-24 EWI 46434G830
2020-07-24 EWP 464286764
2020-07-24 FXA 46090N103
2020-07-24 HIBS 25460E331
2020-07-24 HSMV 33741Y100
2020-07-24 IDRV 46435U366
2020-07-24 LCR 527289789
2020-07-24 MARB 33740J203
2020-07-24 ONLN 74347B169
2020-07-24 PHDG 46090A705
2020-07-24 SGDJ 85210B201
2020-07-24 SPSK 886364702
2020-07-24 TMF 25459W540
2020-07-24 UAVS 00848K101
2020-07-24 UWM 74347R842
2020-07-24 VAL G9402V109
2020-07-24 WEBS 25460E356
2020-07-24 WFH 25460G773
2020-07-24 XBUY 032108870
2020-07-27 AAAU 715426102
2020-07-27 CHIS 37954Y558
2020-07-27 DEHU G2614K102
2020-07-27 DIVO 032108409
2020-07-27 FXA 46090N103
2020-07-27 HIBS 25460E331
2020-07-27 HSMV 33741Y100
2020-07-27 IDRV 46435U366
2020-07-27 LCR 527289789
2020-07-27 MARB 33740J203
2020-07-27 ONLN 74347B169
2020-07-27 PHDG 46090A705
2020-07-27 SGDJ 85210B201
2020-07-27 SPSK 886364702
2020-07-27 TMF 25459W540
2020-07-27 UWM 74347R842
2020-07-27 VAL G9402V109
2020-07-27 WEBS 25460E356
2020-07-27 WFH 25460G773
2020-07-27 XBUY 032108870
2020-07-28 AAAU 715426102
2020-07-28 CQQQ 46138E800
2020-07-28 DEHU G2614K102
2020-07-28 FXA 46090N103
2020-07-28 HIBS 25460E331
2020-07-28 HSMV 33741Y100
2020-07-28 IDRV 46435U366
2020-07-28 LCR 527289789
2020-07-28 MARB 33740J203
2020-07-28 ONLN 74347B169
2020-07-28 PHDG 46090A705
2020-07-28 SGDJ 85210B201
2020-07-28 SPSK 886364702
2020-07-28 TMF 25459W540
2020-07-28 TRND 69374H675
2020-07-28 UWM 74347R842
2020-07-28 VAL G9402V109
2020-07-28 WEBS 25460E356
2020-07-28 WFH 25460G773
2020-07-28 XBUY 032108870
2020-07-28 ZSL 74347W114
2020-07-29 AAAU 715426102
2020-07-29 ASM 053906103
2020-07-29 CQQQ 46138E800
2020-07-29 DEHU G2614K102
