underlying,underlying_last,type,expiration,quotedate,strike,last,change,bid,ask,volume,openinterest
AMC,33.43,put,08/20/2021,07/14/2021,140.00,106.24,4.94,107.00,107.70,3,67
AMC,33.43,call,08/20/2021,07/14/2021,140.00,0.81,-0.13,0.78,0.82,372,1689
AMC,33.43,put,08/20/2021,07/14/2021,145.00,111.80,4.95,111.80,112.70,61,153
AMC,33.43,call,08/20/2021,07/14/2021,145.00,0.79,-0.11,0.77,0.79,9648,34000
AMC,33.43,put,08/27/2021,07/14/2021,22.00,3.10,1.10,3.00,3.20,249,115
AMC,33.43,call,08/27/2021,07/14/2021,22.00,14.75,-4.12,14.05,14.95,35,25
AMC,33.43,put,08/27/2021,07/14/2021,23.00,2.99,0.52,3.40,3.60,32,0
AMC,33.43,call,08/27/2021,07/14/2021,23.00,0,0,13.35,14.30,0,0
AMC,33.43,put,08/27/2021,07/14/2021,24.00,3.70,1.10,3.75,4.00,152,125
AMC,33.43,call,08/27/2021,07/14/2021,24.00,14.60,-6.15,12.70,13.65,3,1
AMC,33.43,put,08/27/2021,07/14/2021,25.00,4.25,1.40,4.15,4.40,144,63
AMC,33.43,call,08/27/2021,07/14/2021,25.00,12.94,-4.03,12.10,13.05,8,67
AMC,33.43,put,08/27/2021,07/14/2021,26.00,3.95,0.65,4.60,4.85,28,5
AMC,33.43,call,08/27/2021,07/14/2021,26.00,16.07,0,11.65,12.45,0,20
AMC,33.43,put,08/27/2021,07/14/2021,27.00,4.50,1.20,5.05,5.30,19,14
AMC,33.43,call,08/27/2021,07/14/2021,27.00,12.40,-3.25,11.15,11.90,20,2
AMC,33.43,put,08/27/2021,07/14/2021,28.00,5.17,1.32,5.55,5.80,62,44
AMC,33.43,call,08/27/2021,07/14/2021,28.00,12.00,-7.08,10.55,11.40,1,0
AMC,33.43,put,08/27/2021,07/14/2021,29.00,4.86,0.66,6.05,6.30,10,2
AMC,33.43,call,08/27/2021,07/14/2021,29.00,11.40,-5.85,10.15,10.85,2,3
AMC,33.43,put,08/27/2021,07/14/2021,30.00,6.50,1.90,6.55,6.85,120,89
AMC,33.43,call,08/27/2021,07/14/2021,30.00,10.00,-4.30,9.95,10.25,19,37
AMC,33.43,put,08/27/2021,07/14/2021,31.00,6.05,1.05,7.10,7.40,10,4
AMC,33.43,call,08/27/2021,07/14/2021,31.00,10.21,0,9.15,9.90,3,0
AMC,33.43,put,08/27/2021,07/14/2021,32.00,7.55,1.90,7.65,7.95,21,39
AMC,33.43,call,08/27/2021,07/14/2021,32.00,9.44,-9.00,8.75,9.45,3,12
AMC,33.43,put,08/27/2021,07/14/2021,33.00,8.45,2.50,8.25,8.55,60,15
AMC,33.43,call,08/27/2021,07/14/2021,33.00,8.71,-3.89,8.40,9.05,16,11
AMC,33.43,put,08/27/2021,07/14/2021,34.00,8.94,2.33,8.85,9.20,33,7
AMC,33.43,call,08/27/2021,07/14/2021,34.00,8.24,-3.61,8.00,8.65,62,13
AMC,33.43,put,08/27/2021,07/14/2021,35.00,9.42,2.07,9.45,9.85,169,43
AMC,33.43,call,08/27/2021,07/14/2021,35.00,7.93,-3.24,7.75,8.25,94,21
AMC,33.43,put,08/27/2021,07/14/2021,36.00,9.40,2.40,10.10,10.50,30,50
AMC,33.43,call,08/27/2021,07/14/2021,36.00,7.70,-3.90,7.40,7.85,80,12
AMC,33.43,put,08/27/2021,07/14/2021,37.00,10.00,2.22,10.75,11.15,19,4
AMC,33.43,call,08/27/2021,07/14/2021,37.00,7.26,-3.13,7.00,7.55,58,2
AMC,33.43,put,08/27/2021,07/14/2021,38.00,11.60,3.18,11.50,11.85,20,36
AMC,33.43,call,08/27/2021,07/14/2021,38.00,7.21,-2.45,6.65,7.20,158,31
AMC,33.43,put,08/27/2021,07/14/2021,39.00,11.31,2.06,12.10,12.60,3,17
AMC,33.43,call,08/27/2021,07/14/2021,39.00,6.80,-2.70,6.40,6.90,58,32
AMC,33.43,put,08/27/2021,07/14/2021,40.00,12.12,2.23,12.80,13.30,178,162
AMC,33.43,call,08/27/2021,07/14/2021,40.00,6.32,-2.98,6.10,6.60,402,106
AMC,33.43,put,08/27/2021,07/14/2021,41.00,13.72,3.39,13.55,14.05,7,15
AMC,33.43,call,08/27/2021,07/14/2021,41.00,6.85,-1.85,5.85,6.30,114,15
AMC,33.43,put,08/27/2021,07/14/2021,42.00,14.09,3.59,14.30,14.80,7,9
AMC,33.43,call,08/27/2021,07/14/2021,42.00,5.95,-2.34,5.60,6.05,17,33
AMC,33.43,put,08/27/2021,07/14/2021,43.00,14.30,3.18,15.00,15.55,1,36
AMC,33.43,call,08/27/2021,07/14/2021,43.00,5.65,-2.41,5.40,5.80,10,61
AMC,33.43,put,08/27/2021,07/14/2021,44.00,15.32,3.49,15.80,16.35,3,25
AMC,33.43,call,08/27/2021,07/14/2021,44.00,5.80,-2.22,5.15,5.55,19,48
AMC,33.43,put,08/27/2021,07/14/2021,45.00,14.65,1.65,16.55,17.15,70,38
AMC,33.43,call,08/27/2021,07/14/2021,45.00,5.12,-2.35,4.95,5.35,145,102
AMC,33.43,put,08/27/2021,07/14/2021,46.00,15.38,3.23,17.35,17.95,21,6
AMC,33.43,call,08/27/2021,07/14/2021,46.00,4.95,-2.29,4.75,5.15,15,46
AMC,33.43,put,08/27/2021,07/14/2021,47.00,18.25,3.87,18.15,18.80,140,3
AMC,33.43,call,08/27/2021,07/14/2021,47.00,5.00,-2.22,4.55,4.95,38,52
AMC,33.43,put,08/27/2021,07/14/2021,48.00,16.94,2.04,18.95,19.60,21,2
AMC,33.43,call,08/27/2021,07/14/2021,48.00,4.72,-2.15,4.40,4.75,10,22
AMC,33.43,put,08/27/2021,07/14/2021,49.00,16.00,0,19.75,20.45,0,7
AMC,33.43,call,08/27/2021,07/14/2021,49.00,4.70,-1.85,4.25,4.55,15,8
AMC,33.43,put,08/27/2021,07/14/2021,50.00,18.92,2.07,20.60,21.30,29,63
AMC,33.43,call,08/27/2021,07/14/2021,50.00,4.20,-2.12,4.10,4.40,237,151
AMC,33.43,put,08/27/2021,07/14/2021,51.00,0,0,21.35,22.90,0,0
AMC,33.43,call,08/27/2021,07/14/2021,51.00,4.10,-1.70,2.97,4.40,48,3
AMC,33.43,put,08/27/2021,07/14/2021,52.00,0,0,20.95,24.10,0,0
AMC,33.43,call,08/27/2021,07/14/2021,52.00,4.50,-0.90,1.84,5.70,51,11
AMC,33.43,put,08/27/2021,07/14/2021,53.00,18.61,0,22.15,24.70,0,3
AMC,33.43,call,08/27/2021,07/14/2021,53.00,3.90,-1.65,3.15,4.15,100,105
AMC,33.43,put,08/27/2021,07/14/2021,54.00,0,0,23.50,26.60,0,0
AMC,33.43,call,08/27/2021,07/14/2021,54.00,4.20,-1.05,2.19,5.25,2,1
AMC,33.43,put,08/27/2021,07/14/2021,55.00,24.13,3.93,24.85,25.65,4,70
AMC,33.43,call,08/27/2021,07/14/2021,55.00,3.55,-1.55,3.40,3.70,766,546
AMC,33.43,put,08/27/2021,07/14/2021,56.00,0,0,24.10,27.15,0,0
AMC,33.43,call,08/27/2021,07/14/2021,56.00,3.75,-1.35,3.15,5.40,3,9
AMC,33.43,put,08/27/2021,07/14/2021,57.00,0,0,25.85,28.25,0,0
AMC,33.43,call,08/27/2021,07/14/2021,57.00,3.70,0,1.46,4.50,2,0
AMC,33.43,put,08/27/2021,07/14/2021,58.00,0,0,27.60,28.25,0,0
AMC,33.43,call,08/27/2021,07/14/2021,58.00,3.45,-1.10,3.10,3.30,23,20
AMC,33.43,put,08/27/2021,07/14/2021,59.00,0,0,28.40,29.25,0,0
AMC,33.43,call,08/27/2021,07/14/2021,59.00,3.10,-1.15,3.00,3.25,33,55
AMC,33.43,put,08/27/2021,07/14/2021,60.00,27.75,5.01,29.25,30.15,25,26
AMC,33.43,call,08/27/2021,07/14/2021,60.00,2.94,-1.33,3.00,3.15,405,103
AMC,33.43,put,08/27/2021,07/14/2021,61.00,0,0,30.20,31.05,0,0
AMC,33.43,call,08/27/2021,07/14/2021,61.00,3.12,-0.93,2.85,3.05,5,7
AMC,33.43,put,08/27/2021,07/14/2021,62.00,0,0,31.10,32.00,0,0
AMC,33.43,call,08/27/2021,07/14/2021,62.00,2.86,-1.01,2.75,2.95,22,10
AMC,33.43,put,08/27/2021,07/14/2021,63.00,0,0,32.10,32.80,0,0
AMC,33.43,call,08/27/2021,07/14/2021,63.00,2.64,-1.16,2.68,2.87,19,16
AMC,33.43,put,08/27/2021,07/14/2021,64.00,0,0,33.00,33.80,0,0
AMC,33.43,call,08/27/2021,07/14/2021,64.00,2.90,-0.80,2.60,2.78,60,102
AMC,33.43,put,08/27/2021,07/14/2021,65.00,0,0,33.25,34.95,0,0
AMC,33.43,call,08/27/2021,07/14/2021,65.00,2.54,-1.21,2.30,3.25,58,47
AMC,33.43,put,08/27/2021,07/14/2021,66.00,0,0,34.15,36.40,0,0
AMC,33.43,call,08/27/2021,07/14/2021,66.00,2.64,-0.96,1.72,4.35,4,1
AMC,33.43,put,08/27/2021,07/14/2021,67.00,34.50,5.60,34.05,37.75,1,29
AMC,33.43,call,08/27/2021,07/14/2021,67.00,2.49,-0.81,2.00,2.98,7,1
AMC,33.43,put,08/27/2021,07/14/2021,68.00,0,0,35.00,38.45,0,0
AMC,33.43,call,08/27/2021,07/14/2021,68.00,2.80,-1.12,1.02,4.00,11,20
AMC,33.43,put,08/27/2021,07/14/2021,69.00,0,0,36.05,38.90,0,0
AMC,33.43,call,08/27/2021,07/14/2021,69.00,2.30,-0.90,2.00,2.55,26,5
AMC,33.43,put,08/27/2021,07/14/2021,70.00,0,0,36.90,40.25,0,0
AMC,33.43,call,08/27/2021,07/14/2021,70.00,2.24,-0.81,2.12,2.36,311,184
AMC,33.43,put,09/17/2021,07/14/2021,0.50,0.01,0,0,0.01,10,7832
AMC,33.43,call,09/17/2021,07/14/2021,0.50,34.25,-5.20,32.45,33.60,47,95
AMC,33.43,put,09/17/2021,07/14/2021,1.00,0.01,0,0.01,0.02,45,4800
AMC,33.43,call,09/17/2021,07/14/2021,1.00,32.45,-5.60,31.70,33.10,39,55
AMC,33.43,put,09/17/2021,07/14/2021,1.50,0.02,0.01,0.01,0.02,101,1224
AMC,33.43,call,09/17/2021,07/14/2021,1.50,38.85,0,31.20,32.60,0,16
AMC,33.43,put,09/17/2021,07/14/2021,2.00,0.02,0,0.02,0.04,0,4026
AMC,33.43,call,09/17/2021,07/14/2021,2.00,44.70,0,31.00,32.10,0,60
AMC,33.43,put,09/17/2021,07/14/2021,2.50,0.03,-0.01,0.02,0.03,1,3160
AMC,33.43,call,09/17/2021,07/14/2021,2.50,31.80,-5.60,30.20,31.60,1,37
AMC,33.43,put,09/17/2021,07/14/2021,3.00,0.04,0,0.03,0.05,45,5598
AMC,33.43,call,09/17/2021,07/14/2021,3.00,42.96,0,29.80,31.15,0,71
AMC,33.43,put,09/17/2021,07/14/2021,3.50,0.06,0,0.05,0.07,131,2609
AMC,33.43,call,09/17/2021,07/14/2021,3.50,36.15,0,29.50,30.65,0,295
AMC,33.43,put,09/17/2021,07/14/2021,4.00,0.08,0.02,0.07,0.12,31,5940
AMC,33.43,call,09/17/2021,07/14/2021,4.00,33.95,-2.55,29.15,30.10,6,299
AMC,33.43,put,09/17/2021,07/14/2021,4.50,0.10,0.01,0.10,0.12,17,596
AMC,33.43,call,09/17/2021,07/14/2021,4.50,32.05,-3.25,28.40,29.70,5,361
AMC,33.43,put,09/17/2021,07/14/2021,5.00,0.13,0.02,0.12,0.13,134,17462
AMC,33.43,call,09/17/2021,07/14/2021,5.00,28.70,-5.52,28.05,28.90,66,776
AMC,33.43,put,09/17/2021,07/14/2021,5.50,0.15,0.01,0.15,0.16,17,1761
AMC,33.43,call,09/17/2021,07/14/2021,5.50,28.68,-22.27,27.40,28.70,1,475
AMC,33.43,put,09/17/2021,07/14/2021,6.00,0.20,0.03,0.18,0.25,10,13354
AMC,33.43,call,09/17/2021,07/14/2021,6.00,29.80,-4.23,26.90,28.10,2,1685
AMC,33.43,put,09/17/2021,07/14/2021,7.00,0.26,0.03,0.26,0.30,86,4013
AMC,33.43,call,09/17/2021,07/14/2021,7.00,26.95,-7.60,26.35,27.05,86,1430
AMC,33.43,put,09/17/2021,07/14/2021,8.00,0.38,0.08,0.38,0.39,2125,16831
AMC,33.43,call,09/17/2021,07/14/2021,8.00,26.97,-4.68,25.15,26.25,6,1012
AMC,33.43,put,09/17/2021,07/14/2021,9.00,0.48,0.08,0.48,0.50,278,11174
AMC,33.43,call,09/17/2021,07/14/2021,9.00,25.00,-6.35,24.15,25.50,79,1767
AMC,33.43,put,09/17/2021,07/14/2021,10.00,0.64,0.14,0.62,0.64,723,24069
AMC,33.43,call,09/17/2021,07/14/2021,10.00,25.38,-4.69,23.30,24.20,90,5873
AMC,33.43,put,09/17/2021,07/14/2021,11.00,0.80,0.18,0.78,0.82,403,4632
AMC,33.43,call,09/17/2021,07/14/2021,11.00,23.60,-5.60,22.45,23.60,21,2810
AMC,33.43,put,09/17/2021,07/14/2021,12.00,0.97,0.22,0.96,0.98,317,17532
AMC,33.43,call,09/17/2021,07/14/2021,12.00,22.40,-5.62,22.05,22.45,150,3158
AMC,33.43,put,09/17/2021,07/14/2021,13.00,1.19,0.33,1.16,1.28,66,3594
AMC,33.43,call,09/17/2021,07/14/2021,13.00,24.25,-3.35,21.35,21.80,61,1234
AMC,33.43,put,09/17/2021,07/14/2021,14.00,1.28,0.20,1.38,1.50,521,7254
AMC,33.43,call,09/17/2021,07/14/2021,14.00,22.00,-3.85,20.20,21.00,21,1720
AMC,33.43,put,09/17/2021,07/14/2021,15.00,1.66,0.47,1.61,1.65,512,30311
AMC,33.43,call,09/17/2021,07/14/2021,15.00,19.93,-5.67,19.70,20.35,33,4597
AMC,33.43,put,09/17/2021,07/14/2021,16.00,1.68,0.28,1.87,1.98,42,1266
AMC,33.43,call,09/17/2021,07/14/2021,16.00,19.70,-5.15,18.65,19.35,8,1468
AMC,33.43,put,09/17/2021,07/14/2021,17.00,2.18,0.59,2.15,2.28,213,1017
AMC,33.43,call,09/17/2021,07/14/2021,17.00,20.26,-3.84,17.90,18.85,61,1116
